Том Круз,58,47,11
Путин,67,58,9
Джеки Чан,66,64,2
Трамп,74,72,2
Джастин Тимберлейк,39,34,5
Марк Руфало,52,49,3
Тейлор Свифт,30,28,2
Энн Хэтэуэй,37,30,7
Том Холланд,24,23,1
Рами Малек,39,38,1
Скарлетт Йоханссон,35,26,9
Дженнифер Лоуренс,29,31,2
Роберт Дауни младший,55,48,7
Патрик Стюарт,80,78,2
Криштиану Роналду,35,31,4
Джаред Падалеки,38,39,1
Арнольд Шварценеггер,72,66,6
Вин Дизель,52,52,0
Джейсон Стэтхэм,52,48,4
Зак Эфрон,32,32,0
Брэд Питт,56,54,2
Леонардо Ди Каприо,45,40,5
Лионель Месси,33,33,0
Эмма Уотсон,30,26,4
Натали Портман,39,34,5
Дуэйн Джонсон,48,47,1
Уилл Смит,51,48,3
Хью Джекман,51,43,8
Том Харди,42,38,4
Сильвестр Сталлоне,74,72,2
Бен Аффлек,47,48,1
Райан Рейнольдс,43,40,3
Джим Керри,58,50,8
Брюс Уиллис,65,65,0
Дэниел Рэдклифф,30,32,2
Марго Робби,30,32,2
Кейли Куоко,34,31,3
Крис Эванс,39,42,3
Генри Кавилл,37,32,5
Джим Парсонс,47,40,7
Дженсен Эклз,42,38,4
